# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2025-05-21T05:27:32   136480  RSR        Pointing     Map(Az)     1254+116                  2024-S1-MX-18                       0.0     0      69.6  193.659398  11.684971  259.8  60.4  0 0
2025-05-21T05:32:07   136481  RSR        Pointing     Map(Az)     1254+116                  2024-S1-MX-18                       0.0     0      70.7  193.659398  11.684971  260.5  59.4  0 0
2025-05-21T05:35:36   136482  RSR        Pointing     Map(Az)     1254+116                  2024-S1-MX-18                       0.0     0      69.7  193.659398  11.684971  261.0  58.6  0 0
2025-05-21T05:38:59   136483  RSR        Calibration  Cal         Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0      12.0  187.714500  12.385369  265.5  52.4  0 0
2025-05-21T05:40:18   136484  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     301.2  187.714500  12.385369  265.6  52.1  0 0
2025-05-21T05:47:38   136485  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     304.3  187.714500  12.385369  266.4  50.3  0 0
2025-05-21T05:55:13   136486  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     303.4  187.714500  12.385369  267.1  48.5  0 0
2025-05-21T06:02:49   136487  RSR        Calibration  Cal         Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0      12.0  187.714500  12.385369  267.8  46.8  0 0
2025-05-21T06:04:07   136488  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     305.8  187.714500  12.385369  267.9  46.4  0 0
2025-05-21T06:11:44   136489  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     307.6  187.714500  12.385369  268.6  44.6  0 0
2025-05-21T06:19:26   136490  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     302.3  187.714500  12.385369  269.3  42.8  0 0
2025-05-21T06:27:21   136491  RSR        Calibration  Cal         Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0      12.0  187.714500  12.385369  269.9  41.0  0 0
2025-05-21T06:28:48   136492  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     310.3  187.714500  12.385369  270.0  40.6  0 0
2025-05-21T06:36:31   136493  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     311.4  187.714500  12.385369  270.7  38.7  0 0
2025-05-21T06:44:21   136494  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     305.3  187.714500  12.385369  271.3  36.9  0 0
2025-05-21T06:57:00   136495  RSR        Pointing     Map(Az)     1254+116                  2024-S1-MX-18                       0.0     0      74.7  193.659398  11.684971  269.5  39.3  0 0
2025-05-21T07:03:21   136496  RSR        Calibration  Cal         Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0      12.0  187.714500  12.385369  272.7  32.4  0 0
2025-05-21T07:04:53   136497  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     309.5  187.714500  12.385369  272.8  32.0  0 0
2025-05-21T07:12:37   136498  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     307.8  187.714500  12.385369  273.4  30.2  0 0
2025-05-21T07:20:22   136499  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     305.6  187.714500  12.385369  274.0  28.4  0 0
2025-05-21T07:28:13   136500  RSR        Calibration  Cal         Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0      12.0  187.714500  12.385369  274.5  26.5  0 0
2025-05-21T07:29:49   136501  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0       0.0  187.714500  12.385369  274.6  26.1  0 0
2025-07-05T03:51:07   138004  RSR        Pointing     Map(Az)     1254+116                  2024-S1-MX-18                       0.0     0      70.3  193.659398  11.684971  268.8  41.5  0 0
2025-07-05T03:55:13   138005  RSR        Pointing     Map(Az)     1254+116                  2024-S1-MX-18                       0.0     0      72.0  193.659398  11.684971  269.1  40.5  0 0
2025-07-05T03:58:43   138006  RSR        Calibration  Cal         Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0      12.0  187.714500  12.385369  272.1  34.2  0 0
2025-07-05T04:00:01   138007  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     301.4  187.714500  12.385369  272.2  33.9  0 0
2025-07-05T04:07:28   138008  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     300.9  187.714500  12.385369  272.8  32.1  0 0
2025-07-05T04:14:55   138009  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     309.8  187.714500  12.385369  273.3  30.4  0 0
2025-07-05T04:22:40   138010  RSR        Calibration  Cal         Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0      12.0  187.714500  12.385369  273.9  28.6  0 0
2025-07-05T04:23:53   138011  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     303.2  187.714500  12.385369  274.0  28.3  0 0
2025-07-05T04:31:18   138012  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     308.6  187.714500  12.385369  274.5  26.5  0 0
2025-07-05T04:39:00   138013  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     308.8  187.714500  12.385369  275.1  24.7  0 0
2025-07-05T04:46:47   138014  RSR        Calibration  Cal         Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0      12.0  187.714500  12.385369  275.6  22.9  0 0
2025-07-05T04:48:20   138015  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     307.0  187.714500  12.385369  275.8  22.5  0 0
2025-07-05T04:55:40   138016  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     304.4  187.714500  12.385369  276.3  20.8  0 0
2025-07-05T05:02:53   138017  RSR        Science      Bs          Virgo_Southern_Filament   2024-S1-MX-18                       0.0     0     302.4  187.714500  12.385369  276.8  19.1  0 0
